Date,EEM,GLD,IWM,LQD,QQQ,SPY,TLT,VNQ
2005-01-03,14.562671661376953,43.02000045776367,48.27503967285156,48.07473373413086,33.69539260864258,81.60601043701172,44.90960693359375,22.788921356201172
2005-01-04,14.114314079284668,42.7400016784668,47.24017333984375,47.804935455322266,33.08118438720703,80.60881805419922,44.438941955566406,22.4464111328125
2005-01-05,13.941526412963867,42.66999816894531,46.29597091674805,47.84347152709961,32.876441955566406,80.05255126953125,44.676788330078125,21.700241088867188
2005-01-06,13.932050704956055,42.150001525878906,46.541481018066406,47.87773895263672,32.71437072753906,80.4595718383789,44.70714569091797,21.867412567138672
2005-01-07,13.959031105041504,41.84000015258789,46.0240478515625,47.85629653930664,32.884979248046875,80.3442611694336,44.80836868286133,21.818477630615234
2005-01-10,13.976524353027344,41.95000076293945,46.49237060546875,47.77495574951172,32.86792755126953,80.7240982055664,44.879234313964844,21.749164581298828
2005-01-11,13.950273513793945,42.209999084472656,45.92584991455078,47.886295318603516,32.63759994506836,80.16790008544922,45.14237976074219,21.528982162475586
2005-01-12,14.12160587310791,42.599998474121094,46.11470031738281,47.933406829833984,32.91057205200195,80.43245697021484,45.20315170288086,21.427051544189453
2005-01-13,14.063278198242188,42.599998474121094,45.97494888305664,48.061912536621094,32.47552490234375,79.78799438476562,45.63833236694336,21.427051544189453
2005-01-14,14.314802169799805,42.31999969482422,46.413063049316406,48.117591857910156,32.78261184692383,80.20858001708984,45.63329315185547,21.69208335876465
2005-01-18,14.289281845092773,42.31999969482422,46.964481353759766,48.143226623535156,33.029991149902344,81.04296112060547,45.785099029541016,21.90411376953125
2005-01-19,14.092439651489258,42.2599983215332,46.292205810546875,48.216102600097656,32.48405456542969,80.19503784179688,45.916683197021484,21.924495697021484
2005-01-20,13.917468070983887,42.25,46.01649856567383,48.13044357299805,31.86131477355957,79.70658874511719,46.00779342651367,21.855182647705078
2005-01-21,14.107022285461426,42.7400016784668,45.91073989868164,48.23752212524414,31.60540771484375,79.21817779541016,46.058441162109375,21.875560760498047
2005-01-24,14.085148811340332,42.77000045776367,45.55950927734375,48.32316970825195,31.16181755065918,79.06214904785156,46.255760192871094,21.700241088867188
2005-01-25,14.21273422241211,42.2400016784668,45.67660140991211,48.16041946411133,31.315387725830078,79.28600311279297,45.820533752441406,21.29250144958496
2005-01-26,14.420513153076172,42.689998626708984,46.28466033935547,48.17755889892578,31.690711975097656,79.5234603881836,45.906593322753906,21.227251052856445
2005-01-27,14.43436336517334,42.619998931884766,46.416839599609375,48.07473373413086,31.648061752319336,79.65910339355469,45.820533752441406,21.07638931274414
2005-01-28,14.447488784790039,42.689998626708984,46.37907791137695,48.353118896484375,31.4945068359375,79.65910339355469,46.281089782714844,21.109006881713867
2005-01-31,14.637768745422363,42.220001220703125,46.92292022705078,48.353118896484375,31.90398406982422,80.15431213378906,46.412654876708984,21.084537506103516
2005-02-01,14.76315975189209,42.099998474121094,47.187313079833984,48.3432731628418,32.00634765625,80.66305541992188,46.3390007019043,21.23948097229004
2005-02-02,14.809822082519531,42.15999984741211,47.54608917236328,48.30022048950195,32.05751037597656,80.90730285644531,46.44564437866211,21.475982666015625
2005-02-03,14.794514656066895,41.68000030517578,47.285499572753906,48.3604621887207,31.690711975097656,80.69700622558594,46.420284271240234,21.541217803955078
2005-02-04,15.025625228881836,41.470001220703125,47.88224411010742,48.51520919799805,32.20253372192383,81.55851745605469,47.0654411315918,21.834796905517578
2005-02-07,15.073009490966797,41.27000045776367,47.870914459228516,48.532379150390625,32.13431167602539,81.44995880126953,47.41594696044922,21.761394500732422
2005-02-08,15.102167129516602,41.2599983215332,47.98798751831055,48.70867156982422,32.194034576416016,81.54491424560547,47.68519973754883,21.81439781188965
2005-02-09,15.053324699401855,41.310001373291016,46.964481353759766,48.880619049072266,31.656585693359375,80.9344253540039,47.81216812133789,21.95303726196289
2005-02-10,15.126225471496582,41.75,47.04756164550781,48.70867156982422,31.690711975097656,81.22611999511719,47.167030334472656,22.120216369628906
2005-02-11,15.273494720458984,42.08000183105469,47.81426239013672,48.56683349609375,32.1599006652832,81.92483520507812,47.13656234741211,22.185453414916992
2005-02-14,15.382851600646973,42.54999923706055,47.77269744873047,48.64845275878906,32.30492401123047,81.86376953125,47.283851623535156,22.189542770385742
2005-02-15,15.419302940368652,42.58000183105469,47.81426239013672,48.57540512084961,32.5181884765625,82.16902160644531,47.04510498046875,22.28739356994629
2005-02-16,15.371918678283691,42.52000045776367,47.957759857177734,48.3432731628418,32.39875411987305,82.2232666015625,46.867313385009766,22.417869567871094
2005-02-17,15.346397399902344,42.72999954223633,47.53477478027344,48.235774993896484,31.96369171142578,81.55851745605469,46.572654724121094,22.40156364440918
2005-02-18,15.5352201461792,42.75,47.41767501831055,48.154083251953125,31.86131477355957,81.66705322265625,46.156089782714844,22.205839157104492
2005-02-22,15.478357315063477,43.56999969482422,46.49237060546875,48.11111068725586,31.46891975402832,80.45275115966797,45.95291519165039,21.56975555419922
2005-02-23,15.549802780151367,43.41999816894531,46.76808166503906,48.17988204956055,31.5115909576416,81.02940368652344,46.10531234741211,21.488216400146484
2005-02-24,15.791114807128906,43.33000183105469,47.206180572509766,48.08529281616211,31.912532806396484,81.56531524658203,46.00369644165039,21.504518508911133
2005-02-25,16.082006454467773,43.5,47.99176788330078,48.171321868896484,32.091651916503906,82.37254333496094,46.22726058959961,21.81439781188965
2005-02-28,16.055025100708008,43.529998779296875,47.693397521972656,47.90045166015625,31.75045394897461,81.8298110961914,45.72941589355469,21.75324249267578
